hotel,is_canceled,arrival_date_year,arrival_date_month,adults,children,babies,country,reserved_room_type,assigned_room_type,reservation_status,reservation_status_date,room_status,guest_type
Resort Hotel,0,2015,July,2,0,0,PRT,C,C,Check-Out,7/1/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,C,C,Check-Out,7/1/2015,Desired,Couple
Resort Hotel,0,2015,July,1,0,0,GBR,A,C,Check-Out,7/2/2015,Un-Desired,Single
Resort Hotel,0,2015,July,1,0,0,GBR,A,A,Check-Out,7/2/2015,Desired,Single
Resort Hotel,0,2015,July,2,0,0,GBR,A,A,Check-Out,7/3/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,A,A,Check-Out,7/3/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,C,C,Check-Out,7/3/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,C,C,Check-Out,7/3/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,5/6/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,D,D,Canceled,4/22/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,E,E,Canceled,6/23/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/5/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,USA,D,E,Check-Out,7/5/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,1,0,ESP,G,G,Check-Out,7/5/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,7/5/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,IRL,D,E,Check-Out,7/5/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,E,E,Check-Out,7/5/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,IRL,A,E,Check-Out,7/2/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,FRA,A,G,Check-Out,7/2/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,G,G,Check-Out,7/5/2015,Desired,Couple
Resort Hotel,0,2015,July,1,0,0,GBR,F,F,Check-Out,7/6/2015,Desired,Single
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/7/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/7/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/7/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,D,I,Check-Out,7/1/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/8/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,IRL,D,D,Check-Out,7/8/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,E,E,Canceled,5/11/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/8/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,D,D,Check-Out,7/8/2015,Desired,Couple
Resort Hotel,0,2015,July,1,0,0,,A,A,Check-Out,7/15/2015,Desired,Single
Resort Hotel,0,2015,July,2,0,0,GBR,D,D,Check-Out,7/16/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,E,E,Canceled,5/29/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,IRL,A,C,Check-Out,7/8/2015,Un-Desired,Couple
Resort Hotel,1,2015,July,3,0,0,PRT,D,D,Canceled,5/19/2015,Desired,Family
Resort Hotel,1,2015,July,3,0,0,PRT,D,D,Canceled,6/19/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,ESP,A,C,Check-Out,7/6/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,3,0,0,PRT,D,D,Check-Out,7/6/2015,Desired,Family
Resort Hotel,1,2015,July,3,0,0,PRT,D,D,Canceled,5/23/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,ROU,E,E,Check-Out,7/7/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,G,G,Canceled,5/18/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,IRL,D,D,Check-Out,7/7/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,F,F,Check-Out,7/7/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ROU,E,E,Check-Out,7/7/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/9/2015,Desired,Couple
Resort Hotel,1,2015,July,2,2,0,PRT,G,G,Canceled,6/2/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,ESP,A,A,Check-Out,7/9/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,NOR,E,E,Check-Out,7/9/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,GBR,A,B,Check-Out,7/9/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,IRL,E,F,Check-Out,7/9/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,NOR,D,D,Check-Out,7/9/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,IRL,A,A,Check-Out,7/13/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,OMN,D,D,Check-Out,7/16/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,A,C,Check-Out,7/3/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ARG,H,H,Check-Out,7/3/2015,Desired,Couple
Resort Hotel,0,2015,July,2,2,0,ESP,C,C,Check-Out,7/3/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,PRT,H,H,Check-Out,7/3/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,D,Check-Out,7/3/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,G,G,Check-Out,7/3/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,USA,A,C,Check-Out,7/4/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,G,G,Check-Out,7/4/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,IRL,E,E,Check-Out,7/4/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,F,F,Check-Out,7/5/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,IRL,A,C,Check-Out,7/5/2015,Un-Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,6/29/2015,Desired,Couple
Resort Hotel,0,2015,July,2,2,0,USA,G,H,Check-Out,7/5/2015,Un-Desired,Family
Resort Hotel,0,2015,July,2,0,0,ESP,A,C,Check-Out,7/5/2015,Un-Desired,Couple
Resort Hotel,0,2015,July,2,0,0,POL,D,D,Check-Out,7/5/2015,Desired,Couple
Resort Hotel,1,2015,July,3,0,0,PRT,A,A,Canceled,6/16/2015,Desired,Family
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,6/18/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,D,D,Canceled,7/3/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,A,A,Canceled,6/12/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,PRT,A,A,Check-Out,7/5/2015,Desired,Couple
Resort Hotel,0,2015,July,2,0,0,ESP,A,A,Check-Out,7/5/2015,Desired,Couple
Resort Hotel,1,2015,July,3,0,0,PRT,A,A,Canceled,6/9/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,ESP,A,A,Check-Out,7/6/2015,Desired,Couple
Resort Hotel,1,2015,July,2,0,0,PRT,E,E,Canceled,5/26/2015,Desired,Couple
Resort Hotel,0,2015,July,1,0,0,PRT,A,A,Check-Out,7/7/2015,Desired,Single
Resort Hotel,0,2015,July,2,0,0,DEU,A,A,Check-Out,7/7/2015,Desired,Couple
Resort Hotel,0,2015,July,3,0,0,PRT,D,D,Check-Out,7/11/2015,Desired,Family
Resort Hotel,0,2015,July,2,0,0,FRA,A,A,Check-Out,7/12/2015,Desired,Couple
